Group;Symbol;Rk;Qk;
1;CH3;0.9011;0.848
1;CH2;0.6744;0.540
1;CH;0.4469;0.228
1;C;0.2195;0.000
2;CH2=CH;1.3454;1.176
2;CH=CH;1.1167;0.867
2;CH2=C;1.1173;0.988
2;CH=C;0.8886;0.676
2;C=C;0.6605;0.485
3;ACH;0.5313;0.400
3;AC;0.3652;0.120
4;ACCH3;1.2663;0.968
4;ACCH2;1.0396;0.660
4;ACCH;0.8121;0.348
5;OH;1.0000;1.200
6;CH3OH;1.4311;1.432
7;H2O;0.9200;1.400
8;ACOH;0.8952;0.680
9;CH3CO;1.6724;1.488
9;CH2CO;1.4457;1.180
10;CHO;0.9980;0.948
11;CH3COO;1.9031;1.728
11;CH2COO;1.6764;1.420
12;HCOO;1.2420;1.188
13;CH3O;1.450;1.088
13;CH2O;0.9183;0.780
13;CHO;0.6908;0.468
13;FCH2O;0.9183;1.100
14;CH3NH2;1.5959;1.544
14;CH2NH2;1.3692;1.236
14;CHNH2;1.1417;0.924
15;CH3N;1.1865;0.940
15;CH2N;0.9597;0.632
16;ACNH2;1.0600;0.816
17;C5H6N;2.9993;2.113
17;C5H4N;2.8332;1.833
17;C5H3N;2.6670;1.553
17;C5H2N;2.5010;1.273
18;CH3CN;1.8701;1.724
18;CH2CN;1.6434;1.416
19;CH2Cl;1.4654;1.264
19;CHCl;1.238;0.952
19;CCl;1.006;0.724
20;CH2Cl2;2.2564;1.988
20;CHCI2;2.0606;1.684
20;CC12;1.8016;1.448
21;CHCl3;2.8700;2.410
21;CCl3;2.6401;2.184
22;CCl4;3.3900;2.910
23;ACCl;1.1562;0.844
24;CH3NO2;2.0086;1.868
24;CH2NO2;1.7818;1.560
24;CHNO2;1.5544;1.248
24;CNO2;1.3276;0.940
25;ACNO2;1.4199;1.104
26;FURFURAL;3.1680;2.481
27;(CH2OH)2;2.4088;2.248
28;I;1.2640;0.992
29;BR;0.9492;0.832
30;ME2SO;2.8266;2.472
31;C1(C=C);0.7910;0.724
32;DMF;3.0856;2.736
33;NMP;3.981;3.200
34;SULFOLANE;4.0358;3.200
35;ACCOO;1.3672;1.000
36;CHGS;1.6130;1.368
36;CH2S;1.3863;1.060
37;DMA;3.7601;3.276
38;DEG;4.0013;3.568
39;NFM;4.2248;3.440
40;TEG;5.5939;4.888
