Group;Symbol;Rk;Qk
1;CH3;0.6325;1.0608
1;CH2;0.6325;0.7081
1;CH;0.6325;0.3554
1;C;0.6325;0
2;CH2=CH;1.2832;1.6016
2;CH=CH;1.2832;1.2489
2;CH2=C;1.2832;1.2489
2;CH=C;1.2832;0.8962
2;C=C;1.2832;0.4582
3;ACH;0.3763;0.4321
3;AC;0.3763;0.2113
4;ACCH3;0.91;0.949
4;ACCH2;0.91;0.7962
4;ACCH;0.91;0.3769
4;ACC;0.5847;0.12
5;OH prim;1.2302;0.8927
5;OH sec;1.063;0.8663
5;OH tert;0.6895;0.8345
6;CH3OH;0.8585;0.9938
7;H2O;1.7334;2.4561
8;ACOH;1.08;0.975
9;CH3CO;1.7048;1.67
9;CH2CO;1.7048;1.5542
9;CHCO;1.7048;1.5542
9;CCO;1.7048;1.5542
10;CHO;0.7173;0.771
10;HCHO;0.7173;0.771
11;CH3COO;1.27;1.6286
11;CH2COO;1.27;1.4228
12;HCOO;1.9;1.8
13;CH3O;1.1434;1.6022
13;CH2O;1.1434;1.2495
13;CHO;1.1434;0.8968
14;CH3NH2;1.6607;1.6904
14;CH2NH2;1.6607;1.3377
14;CHNH2;1.6607;0.985
14;CNH2;1.6607;0.985
15;CH3NH;1.368;1.4332
15;CH2NH;1.368;1.0805
15;CHNH;1.368;0.7278
16;CH3N;1.0746;1.176
16;CH2N;1.0746;0.824
17;ACNH2;1.1849;0.8067
17;ACNH;1.1849;0.732
17;ACN;1.1849;0.61
18;AC2H2N;1.4578;0.9022
18;AC2HN;1.2393;0.633
18;AC2N;1.0731;0.353
94;AC2H2NH;1.325;0.752
94;AC2HNH;1.0976;0.44
94;AC2NH;0.8701;0.212
19;CH3CN;1.5575;1.5193
19;CH2CN;1.5575;1.1666
19;CHCN;1.5575;1.1666
19;CCN;1.5575;1.1666
29;COOH;0.8;0.9215
21;CH2Cl;0.9919;1.3654
21;CHCl;0.9919;1.0127
21;CCl;0.9919;0.66
22;CH2Cl2;1.8;2.5
22;CHCl2;1.8;2.1473
22;CCl2;1.8;1.7946
23;CCl3;2.65;2.3778
24;CCl4;2.618;3.1863
25;ACCl;0.5365;0.3177
26;CH3NO2;2.644;2.5
26;CH2NO2;2.5;2.304
26;CHNO2;2.887;2.241
26;CNO2;2.887;2.241
27;ACNO2;0.4656;0.3589
28;CS2;1.24;1.068
29;CH3SH;1.289;1.762
29;CH2SH;1.535;1.316
29;CHSH;1.4232;1.21
29;CSH;1.1958;1.1401
29;ACSH;1.2887;1.2
30;Furfural;1.299;1.289
31;CH2(OH)-CH2(OH);3.7374;3.2016
31;-CH(OH)-CH2(OH);3.5642;2.8225
31;-CH(OH)-CH(OH)-;3.3910 ;2.4434
31;>C(OH)-CH2(OH);3.1847;2.1144
31;>C(OH)-CH(OH)-;3.0175;2.0562
31;>C(OH)-C(OH)<;2.644;1.669
32;I;1.076;0.9169
33;Br;1.209;1.4
34;CH#C;0.9214;1.3
34;C#C;1.303;1.132
35;DMSO;3.6;2.692
36;Acrylonitrile;1;0.92
37;Cl?(C=C);0.5229;0.7391
38;ACF;0.8814;0.7269
39;DMF;2;2.093
39;HCON(CH2)2;2.381;1.522
40;CF3;2.7489;2.7769
40;CF2;1.4778;1.4738
40;CF;0.8215;0.5135
41;COO;1.6;0.9
42;c-CH2;0.7136;0.8635
42;c-CH;0.3479;0.1071
42;c-C;0.347;0
43;CH2-O-CH2;1.7023;1.8784
43;CH2-O-[CH2-O]1/2;1.4046;1.4
43;[O-CH2]1/2-O-[CH2-O]1/2;1.0413;1.0116
44;HCOOH;0.8;1.2742
45;CHCl3;2.45;2.8912
46;c-CON-CH3;3.981;3.2
46;c-CON-CH2;3.7543;2.892
46;c-CON-CH;3.5268;2.58
46;c-CON-C;3.2994;2.352
47;CONHCH3;1.5;1.08
47;CONHCH2;1.5;1.08
48;CON(CH3)2;2.4748;1.9643
48;CON(CH3)CH2;2.2739;1.5754
48;CON(CH2)2;2.0767;1.1866
49;HCONHCH3;2.4617;2.192
49;HCONHCH2;2.4617;1.842
50;ACCN;1.2815;0.96
51;CH3NCO;1.9578;1.58
51;CH2NCO;1.731;1.272
51;CHNCO;1.5036;0.96
51;ACNCO;1.4219;0.852
52;AC2H2S;1.7943;1.34
52;AC2HS;1.6282;1.06
52;AC2S;1.4621;0.78
53;H2COCH;1.3601;1.8031
53;HCOCH;0.9104;0.6538
54;COOCO;1.7732;1.52
55;(CH3O)2CO;3.0613;2.816
55;(CH2O)2CO;2.6078;2.2
55;(CH3O)COOCH2;2.8214;2.508
55;(ACO)COOCH2;2.2854;1.78
55;(ACO)CO(OAC);1.9895;1.36
56;CH2SuCH2;2.687;2.12
56;CH2SuCH ;2.46;1.808
56;ACSO2;1.7034;1.16
57;ACCHO;1.3632;1.068
58;ACCOOH;1.6664;1.344
59;AC-O-CO-CH3 ;2.2815;1.848
59;AC-O-CO-CH2;2.0547;1.54
59;AC-O-CO-CH;1.8273;1.228
59;AC-O-CO-C;1.5999;1
60;-O-CH2-CH2-OH;2.1226;1.904
60;-O-CH-CH2-OH;1.8952;1.592
60;-O-CH2-CH-OH;1.8952;1.592
61;CH3-S-;1.6131;1.368
61;-CH2-S-;1.3863 ;1.06
