Group;Symbol;Rk;Qk;
1;CH3;0.9011;0.848;
1;CH2;0.6744;0.540;
1;CH;0.4469;0.228;
1;C;0.2195;0.0;
2;CH2=CH;1.3454;1.176;
2;CH=CH;1.1167;0.867;
2;CH2=C;1.1173;0.988;
2;CH=C;0.8886;0.676;
2;C=C;0.6605;0.485;
3;ACH;0.5313;0.400;
3;AC;0.3652;0.120;
4;ACCH3;1.2663;0.968;
4;ACCH2;1.0396;0.660;
4;ACCH;0.8121;0.348;
5;OH;1.0000;1.200;
6;CH3OH;1.4311;1.432;
7;H2O;0.92;1.4;
8;ACOH;0.8952;0.68;
9;CH3CO;1.6724;1.448;
9;CH2CO;1.4457;1.180;
10;HCO;0.9980;0.948;
11;CH3COO;1.9031;1.728;
11;CH2COO;1.6764;1.420;
12;HCOO;1.2420;1.188;
13;CH3O;1.1450;1.088;
13;CH2O;0.9183;0.780;
13;CHO;0.6908;0.468;
13;THF;0.9183;1.100;
14;CH3NH2;1.5959;1.544;
14;CH2NH2;1.3692;1.236;
14;CHNH2;1.1417;0.924;
15;CH3NH;1.4337;1.244;
15;CH2NH;1.2070;0.936;
15;CHNH;0.9795;0.624;
16;CH3N;1.1865;0.940;
16;CH2N;0.9597;0.632;
17;ACNH2;1.0600;0.816;
18;C5H5N;2.9993;2.113;
18;C5H4N;2.8332;1.833;
18;C5H3N;2.6670;1.553;
19;CH3CN;1.8701;1.724;
19;CH2CN;1.6434;1.416;
20;COOH;1.3013;1.224;
20;HCOOH;1.5280;1.532;
21;CH2Cl;1.4654;1.264;
21;CHCl;1.2380;0.952;
21;CCl;1.0106;0.724;
22;CH2Cl2;2.2564;1.998;
22;CHCl2;2.0606;1.684;
22;CCl2;1.8016;1.448;
23;CHCl3;2.8700;2.410;
23;CCl3;2.6401;2.184;
24;CCl4;3.3900;2.910;
25;ACCl;1.1562;0.844;
26;CH3NO2;2.0086;1.868;
26;CH2NO2;1.7818;1.560;
26;CHNO2;1.5544;1.248;
27;ACNO2;1.4199;1.104;
28;CS2;2.0570;1.650;
29;CH3SH;1.8770;1.676;
29;CH2SH;1.6510;1.368;
30;furfural;3.1680;2.484;
31;DOH;2.4088;2.248;
32;I;1.2640;0.992;
33;Br;0.9492;0.832;
34;CH{triple}C;1.2920;1.088;
34;C{triple}C;1.0613;0.784;
35;DMSO;2.8266;2.472;
36;acrylnitrile;2.3144;2.052;
37;Cl-C=C;0.7910;0.724;
38;ACF;0.6948;0.524;
39;DMF;3.0856;2.736;
39;HCON(CH2)2;2.6322;2.120;
40;CF3;1.4060;1.380;
40;CF2;1.0105;0.920;
40;CF;0.6150;0.460;
41;COO;1.3800;1.200;
42;SiH3;1.6035;1.263;
42;SiH2;1.4443;1.006;
42;SiH;1.2853;0.749;
42;Si;1.0470;0.410;
43;SiH2O;1.4838;1.062;
43;SiHO;1.3030;0.764;
43;SiO;1.1044;0.466;
44;NMP;3.9810;3.200;
45;CCl3F;3.0356;2.644;
45;CCl2F;2.2287;1.916;
45;HCCl2F;2.4060;2.116;
45;HCClF;1.6493;1.416;
45;CClF2;1.8174;1.648;
45;HCClF2;1.9670;1.828;
45;CClF3;2.1721;2.100;
45;CCl2F2;2.6243;2.376;
46;CONH2;1.4515;1.248;
46;CONHCH3;2.1905;1.796;
46;CONHCH2;1.9637;1.488;
46;CON(CH3)2;2.8589;2.428;
46;CONCH3CH2;2.6322;2.120;
46;CON(CH2)2;2.4054;1.812;
47;C2H5O2;2.1226;1.904;
47;C2H4O2;1.8952;1.592;
48;CH3S;1.6130;1.368;
48;CH2S;1.3863;1.060;
48;CHS;1.1589;0.748;
49;morpholine;3.4740;2.796;
50;C4H4S;2.8569;2.140;
50;C4H3S;2.6908;1.860;
50;C4H2S;2.5247;1.580;
52;CH2SuCH2;2.6869;2.120;
52;CH2SuCH;2.4595;1.808;
53;CH2OCH2;1.5926;1.320;
53;CH2OCH;1.3652;1.008;
53;CH2OC;1.1378;0.780;
53;CHOCH;1.1378;0.696;
53;CHOC;0.9103;0.468;
53;COC;0.6829;0.240;
54;O=COC=O;1.7732;1.520;
55;AC-CN;1.3342;0.996;
56;AC-Br;1.3629;0.972;
