1;-CH3;sp3;-0.104;-0.075;0.007;0;0.321
2;>CH2;sp3;0;0;0;0;0.499
3;>CH-;sp3;0.089;0.036;0.011;0.02;0.449
4;>C<;sp3;0.187;0.071;0.037;0.047;0.443
5;=CH2;sp2;-0.045;-0.085;0.019;0.024;0.244
6;=CH-;sp2 or aromatic;0.068;0.05;0.011;0.012;0.469
7;=C<;sp2 or nonfused aromatic;0.18;0.101;0;0;0.624
8;C;fused aromatic;0.3;0.121;0.019;0.018;0.744
9;?;sp;0.04;0.034;0.028;0.032;0.332
10;-NH2;sp3, connected to aliphatic;0.085;0.175;0.481;0.486;0.781
11;-NH2;sp3, connected to aromatic;0.163;0.383;0.275;0.326;0.949
12;>NH;sp3, connected to aliphatic;0.138;0.265;0.541;0.543;0.568
13;>NH;sp3, connected to aromatic;0.192;0.311;0.415;0.426;0.912
14;>NH;pyrrole;-0.03;0.221;0.316;0.267;1.25
15;>N-;sp3, connected to aliphatic;0.22;0.323;0.653;0.655;0.4
16;>N-;sp3, connected to aromatic;0.346;0.295;0.321;0.338;0.869
17;>N-;pyrrole;0.083;0.265;0.392;0.338;0.794
18;=N;sp2, noncyclic;0.117;0.125;0.2;0.202;-0.235
19;=N;sp2, cyclic;0.121;0.254;0.596;0.589;-0.24
20;=N;pyridine;0.046;0.223;0.321;0.3;0.574
21;N?C-;sp, connected to aliphatic;0;0.694;0.242;0.245;0.757
22;N?C-;sp, connected to aromatic;0;0.39;0.103;0.093;0.732
23;-NO2;connected to aliphatic;0.2;0;-0.476;-0.595;0.278
24;-NO2;connected to aromatic;0.21;-0.231;-0.525;-0.533;0.347
25;-ONO2;nitrate;0;-0.476;-0.204;-0.202;0
26;-OH;any;0.061;0.247;0.307;0.311;0.672
27;-O-;sp3, noncyclic;0.014;0.185;0.211;0.226;0.36
28;-O-;sp3, cyclic;0.013;0.185;0.331;0.33;0.359
29;-O-;aromatic;-0.125;0;0.047;0.06;0.057
30;=O;2 sp2;-0.041;0.37;0.334;0.339;0.495
31;-S-;sp3;0.33;0.189;0.168;0.175;1.258
32;-S-;aromatic;0.116;0;0.043;0.083;0.848
33;=S;sp2;0.364;0.618;0.071;0.069;0.954
34;>S=;sp2;0.413;1.065;0.448;0.319;2.196
