-B0
	Ba_+2        Br_-1        0.31455      0            0            -0.33825E-3  
	Ba_+2        Cl_-1        0.5268       0            0            0            0            4.75e4       # ref. 3     
	Ba_+2        OH_-1        0.17175      
	CaB(OH)4_+1  Cl_-1        0.12         
	Ca_+2        Br_-1        0.3816       0            0            -5.2275E-4   
	Ca_+2        Cl_-1        0.3159       0            0            -3.27e-4     1.4e-7       # ref. 3     
	Ca_+2        HCO3_-1      0.4          
	Ca_+2        HSO4_-1      0.2145       
	Ca_+2        OH_-1        -0.1747      
	Ca_+2        SO4_-2       0            # ref. 3     
	Fe_+2        Cl_-1        0.335925     
	Fe_+2        HSO4_-1      0.4273       
	Fe_+2        SO4_-2       0.2568       
	H_+1         Br_-1        0.1960       0            0            -2.049E-4    
	H_+1         Cl_-1        0.1775       0            0            -3.081E-4    
	H_+1         HSO4_-1      0.2065       
	H_+1         SO4_-2       0.0298       
	K_+1         B(OH)4_-1    0.035        
	K_+1         B3O3(OH)4_-1 -0.13        
	K_+1         B4O5(OH)4_-2 -0.022       
	K_+1         Br_-1        0.0569       0            0            7.39E-4      
	K_+1         Cl_-1        0.04808      -758.48      -4.7062      0.010072     -3.7599e-6   # ref. 3     
	K_+1         CO3_-2       0.1488       0            0            1.788E-3     
	K_+1         HCO3_-1      0.0296       0            0            0.996E-3     
	K_+1         HSO4_-1      -0.0003      
	K_+1         OH_-1        0.1298       
	K_+1         SO4_-2       3.17e-2      0            0            9.28e-4      # ref. 3     
	Li_+1        Br_-1        0.1748       0            0            -1.819E-4    
	Li_+1        Cl_-1        0.1494       0            0            -1.685E-4    
	Li_+1        OH_-1        0.015        
	Li_+1        SO4_-2       0.136275     0            0            0.5055E-3    
	MgB(OH)4+    Cl_-1        0.16         
	MgOH_+1      Cl_-1        -0.1         
	Mg_+2        Br_-1        0.4327       0            0            -5.625E-5    
	Mg_+2        Cl_-1        0.351        0            0            -9.32e-4     5.94e-7      # ref. 3     
	Mg_+2        HCO3_-1      0.329        
	Mg_+2        HSO4_-1      0.4746       
	Mg_+2        SO4_-2       0.2135       -951         0            -2.34e-2     2.28e-5      # ref. 3     
	Mn_+2        Cl_-1        0.327225     
	Mn_+2        SO4_-2       0.2065       
	Na_+1        B(OH)4_-1    -0.0427      
	Na_+1        B3O3(OH)4_-1 -0.056       
	Na_+1        B4O5(OH)4_-2 -0.11        
	Na_+1        Br_-1        0.0973       0            0            7.692E-4     
	Na_+1        Cl_-1        7.534e-2     9598.4       35.48        -5.8731e-2   1.798e-5     -5e5         # ref. 3     
	Na_+1        CO3_-2       0.0399       0            0            1.79E-3      
	Na_+1        HCO3_-1      -0.018       # ref. 3 + new -analytic for calcite
	Na_+1        HSO4_-1      0.0454       
	Na_+1        OH_-1        0.0864       0            0            7.00E-4      
	Na_+1        SO4_-2       2.73e-2      0            -5.8         9.89e-3      0            -1.563e5     # ref. 3     
	Sr_+2        Br_-1        0.331125     0            0            -0.32775E-3  
	Sr_+2        Cl_-1        0.2858       0            0            0.717E-3     
	Sr_+2        HCO3_-1      0.12         
	Sr_+2        SO4_-2       0.200        0            0            -2.9E-3      
-B1
	Ba_+2        Br_-1        1.56975      0            0            6.78E-3      
	Ba_+2        Cl_-1        0.687        0            0            1.417e-2     # ref. 3     
	Ba_+2        OH_-1        1.2          
	Ca_+2        Br_-1        1.613        0            0            6.0375E-3    
	Ca_+2        Cl_-1        1.614        0            0            7.63e-3      -8.19e-7     # ref. 3     
	Ca_+2        HCO3_-1      2.977        # ref. 3 + new -analytic for calcite
	Ca_+2        HSO4_-1      2.53         
	Ca_+2        OH_-1        -0.2303      
	Ca_+2        SO4_-2       3.546        0            0            5.77e-3      # ref. 3     
	Fe_+2        Cl_-1        1.53225      
	Fe_+2        HSO4_-1      3.48         
	Fe_+2        SO4_-2       3.063        
	H_+1         Br_-1        0.3564       0            0            4.467E-4     
	H_+1         Cl_-1        0.2945       0            0            1.419E-4     
	H_+1         HSO4_-1      0.5556       
	K_+1         B(OH)4_-1    0.14         
	K_+1         Br_-1        0.2212       0            0            17.40E-4     
	K_+1         Cl_-1        0.2168       0            -6.895       2.262e-2     -9.293e-6    -1e5         # ref. 3     
	K_+1         CO3_-2       1.43         0            0            2.051E-3     
