Group;Symbol;Rk;Qk;
1;CH3;0.9011;0.848;
1;CH2;0.6744;0.54;
1;CH;0.4469;0.228;
1;C;0.2195;0;
2;CH2=CH;1.3454;1.176;
2;CH=CH;1.1167;0.867;
2;CH=C;0.8886;0.676;
2;CH2=C;1.1173;0.988;
3;ACH;0.5313;0.4;
3;AC;0.3652;0.12;
4;ACCH3;1.2663;0.968;
4;ACCH2;1.0396;0.66;
4;ACCH;0.8121;0.348;
5;OH;1;1.2;
6;P1;3.2499;3.128;
7;P2;3.2491;3.124;
8;H2O;0.92;1.4;
9;ACOH;0.8952;0.68;
10;CH3CO;1.6724;1.488;
10;CH2CO;1.4457;1.18;
11;CHO;0.998;0.948;
12;C5H4O2;3.168;2.484;
13;COOH;1.3013;1.224;
13;HCOOH;1.528;1.532;
14;CH3COO;1.9031;1.728;
14;CH2COO;1.6764;1.42;
15;CH3O;1.145;1.088;
15;CH2O;0.9183;0.78;
15;CH-O;0.6908;0.468;
15;FCH2O;0.9183;1.1;
16;CH2Cl;1.4654;1.264;
16;CHCl;1.238;0.952;
16;CCl;1.006;0.724;
17;CH2Cl2;2.2564;1.988;
17;CHCl2;2.0606;1.684;
17;CCl2;1.8016;1.448;
18;CHCl3;2.87;2.11;
18;CCl3;2.6401;2.184;
19;CCl4;3.39;2.91;
20;ACCl;1.1562;0.844;
21;CH3CN;1.8701;1.724;
21;CH2CN;1.6434;1.416;
22;ACNH2;1.06;0.816;
23;CH3NO2;2.0086;1.868;
23;CH2NO2;1.7818;1.56;
23;CHNO2;1.5544;1.248;
24;ACNO2;1.4199;1.104;
25;(CH2OH)2;2.4088;2.248;
26;(HOCH2CH2)2;4.0013;3.568;
27;C5H5N;2.9993;2.113;
27;C5H4N;2.8332;1.833;
27;C5H3N;2.557;1.553;
28;CCl2=CHCl;3.3092;2.85;
29;HCONHCH3;2.4317;2.192;
30;HCON(CH3)2;3.0855;2.735;
31;(CH2)4SO2;4.0358;3.2;
32;(CH2)2SO;2.8255;2.472;
