No.;Sub-group Name;Example;;
(1) CH2;;;;
1;CH3;hexane;2 CH3, 4 CH2;
2;CH2;octane;2 CH3, 6 CH2;
3;CH;2-methylpropane;3 CH3, 1 CH;
4;C;neopentane;4 CH3, 1 C;
(2)  C=C;;;;
5;CH2=CH;1-hexene;1 CH3, 3 CH2, 1 CH2=CH;
6;CH=CH;trans-2-hexene;2 CH3, 2 CH2, 1 CH=CH;
7;CH2=C;2-methyl-1-butene;2 CH3, 1 CH2, 1 CH2=C;
8;CH=C;2-methyl-2-butene;3 CH3, 1 CH=C;
70;C=C;2,3-dimethyl-2-butene;4 CH3, 1 C=C;
(3) ACH;;;;
9;ACH;naphthalene;8 ACH, 2 AC;
10;AC;styrene;1 CH2=CH, 5 ACH, 1 AC;
(4) ACCH2;;;;
11;ACCH3;toluene;5 ACH, 1 ACCH3;
12;ACCH2;ethylbenzene;1 CH3, 5 ACH, 1 ACCH2;
13;ACCH;isopropylbenzene;2 CH3, 5 ACH, 1 ACCH;
195;ACC;tert-butylbenzene;3 CH3, 5 ACH, 1 ACC;
(5) OH;;;;
14;OH prim;1-propanol;1 CH3, 2 CH2, 1 OH(p);
81;OH sec;2-propanol;2 CH3, 1 CH, 1 OH(s);
82;OH tert;tert-butanol;3 CH3, 1 C , 1 OH(t);
(6) CH3OH;;;;
15;CH3OH;methanol;1 CH3OH;
(7) H2O;;;;
16;H2O;water;1 H2O;
(8) ACOH;;;;
17;ACOH;phenol;5 ACH, 1 ACOH;
(9) CH2CO;;;;
18;CH3CO;2-butanone;1 CH3, 1 CH2, 1 CH3CO;
19;CH2CO;3-pentanone;2 CH3, 1 CH2, 1 CH2CO;
301;CHCO;ethyl isopropyl ketone;1 CHCO, 3 CH3, 1 CH2;
302;CCO;methyl tert-butyl ketone;1 CCO, 4 CH3;
(10) CHO;;;;
20;CHO;propionic aldehyde;1 CH3, 1 CH2, 1 CHO;
308;HCHO;formaldehyde;1 HCHO;
(11) CCOO;;;;
21;CH3COO;butyl acetate;1 CH3, 3 CH2, 1 CH3COO;
22;CH2COO;methyl propionate;2 CH3, 1 CH2COO;
(12) HCOO;;;;
23;HCOO;ethyl formate;1 CH3, 1 CH2, 1 HCOO;
(13) CH2O;;;;
24;CH3O;dimethyl ether;1 CH3, 1 CH3O;
25;CH2O;diethyl ether;2 CH3, 1 CH2, 1 CH2O;
26;CHO;diisopropyl ether;4 CH3, 1 CH, 1 CHO;
(14) CNH2;;;;
28;CH3NH2;methylamine;1 CH3NH2;
29;CH2NH2;ethylamine;1 CH3, 1 CH2NH2;
30;CHNH2;isopropylamine;2 CH3, 1 CHNH2;
85;CNH2;tert-butylamine;3 CH3, 1 CNH2;
(15) CNH;;;;
31;CH3NH;dimethylamine;1 CH3, 1 CH3NH;
32;CH2NH;diethylamine;2 CH3, 1 CH2, 1 CH2NH;
33;CHNH;diisopropylamine;4 CH3, 1 CH, 1 CHNH;
(16) (C)3N;;;;
34;CH3N;trimethylamine;2 CH3, 1 CH3N;
35;CH2N;triethylamine;3 CH3, 2 CH2, 1 CH2N;
(17) ACNH2;;;;
36;ACNH2;aniline;5 ACH, 1 ACNH2;
306;ACNH;n-methylaniline;5 ACH, 1 ACNH, 1 CH3;
