Formula;E, R2;S, pH;aH;B, bH;V, Vx;L, logL
naphthalene;1.3920000000000001;0.919;0;0.197;1.0854000000000001;5.37
methylnaphthalene;1.4;0.8950000000000001;0;0.193;1.2263000000000006;5.845999999999999
ethylnaphthalene;1.4;0.8950000000000001;0;0.193;1.3672000000000002;6.344999999999999
dimethylnaphthalene;1.408;0.871;0;0.189;1.3672000000000002;6.322
propylnaphthalene;1.4;0.8950000000000001;0;0.193;1.5737000000000003;6.843999999999999
isopropylnaphthalene;1.385;0.8560000000000001;0;0.21100000000000002;1.5737000000000003;6.616
methylethylnaphthalene;1.408;0.871;0;0.189;1.5737000000000003;6.821
trimethylnaphathalene;1.416;0.8470000000000001;0;0.185;1.5737000000000003;6.798
fluorene;1.752;1.121;0;0.197;1.3565000000000003;7.117
anthracene;2.128;1.2610000000000001;0;0.257;1.4544000000000006;7.795999999999999
methylanthracene;2.136;1.237;0;0.253;1.5953000000000006;8.272
ethylanthracene;2.136;1.237;0;0.253;1.7362000000000004;8.771
dimethylanthracene;2.144;1.213;0;0.249;1.7362000000000004;8.748000000000001
pyrene;2.7279999999999998;1.5030000000000001;0;0.295;1.5846000000000007;9.284
methylpyrene;2.7359999999999998;1.479;0;0.291;1.7255000000000005;9.760000000000002
dibenzotiophene;1.868;1.121;0;0.24;1.4447000000000003;7.466
methyldibenzotiophene;1.8760000000000001;1.0970000000000002;0;0.236;1.5856000000000006;7.941999999999999
ethyldibenzotiophene;1.8760000000000001;1.0970000000000002;0;0.236;1.7265000000000013;8.441
dimethyldibenzotiophene;1.8840000000000001;1.073;0;0.23200000000000004;1.7265000000000013;8.418000000000001
dibenzofuran ;1.627;1.121;0;0.244;1.3399;6.675000000000001
methyldibenzofuran;1.635;1.0970000000000002;0;0.24;1.4808000000000003;7.151
ethyldibenzofuran;1.635;1.0970000000000002;0;0.24;1.621700000000001;7.6499999999999995
dimethyldibenzofuran;1.643;1.073;0;0.23600000000000004;1.621700000000001;7.627000000000001
carbazole;1.722;1.342;0.374;0.513;1.3810000000000002;7.868
methylcarbazole;1.73;1.318;0.374;0.509;1.5219;8.344000000000001
