Substance;Formula;B;GR1;GR2
toluene;C7H8;15;5*=CH- 1*=C< 1*-CH3;0
1,2,3,4-tetrahydronaphthalene;C10H12;23;4*=CH- 2*=C< 4*>CH2;0
1,2,3,4-tetrahydronaphthalene_v;C10H12;23;4*=CH- 2*=C< 4*>CH2;0
methyl-1,2,3,4-tetrahydronaphthalene;C11H14;26;3*=CH- 3*=C< 4*>CH2 1*-CH3;0
dimethyl-1,2,3,4-tetrahydronaphthalene;C12H16;29;2*=CH- 4*=C< 4*>CH2 2*-CH3;0
trimethyl-1,2,3,4-tetrahydronaphthalene;C13H18;31;1*=CH- 5*=C< 4*>CH2 3*-CH3;0
naphthalene;C10H8;19;8*=CH- 2*C;0
methylnaphthalene;C11H10;22;7*=CH- 2*C 1*=C< 1*-CH3;0
ethylnaphthalene;C12H12;25;7*=CH- 2*C 1*=C< 1*>CH2 1*-CH3;0
dimethylnaphthalene;C12H12;25;6*=CH- 2*C 2*=C< 2*-CH3;0
trimethylnaphathalene;C13H14;28;5*=CH- 2*C 3*=C< 3*-CH3;0
tetramethylnaphthalene;C14H16;31;4*=CH- 2*C 4*=C< 4*-CH3;0
fluorene;C13H10;25;8*=CH- 2*C 2*=C< 1*>CH2;0
fluorene;C13H10;25;8*=CH- 2*C 2*=C< 1*>CH2;0
methylfluorene;C14H12;28;7*=CH- 2*C 3*=C< 1*>CH2 1*-CH3;0
dimethylfluorene;C15H14;31;6*=CH- 2*C 4*=C< 1*>CH2 2*-CH3;0
biphenyl;C12H10;23;10*=CH- 2*=C<;0
biphenyl_v;C12H10;23;10*=CH- 2*=C<;0
methylbiphenyl_v;C13H12;26;9*=CH- 3*=C< 1*-CH3;0
diphenylmethane;C13H12;26;10*=CH- 2*=C< 1*>CH2;0
diphenylmethane_v;C13H12;26;10*=CH- 2*=C< 1*>CH2;0
anthracene;C14H10;26;10*=CH- 4*C;0
methylanthracene;C15H12;29;9*=CH- 4*C 1*=C< 1*-CH3;0
dimethylanthracene;C16H14;32;8*=CH- 4*C 2*=C< 2*-CH3;0
trimethylanthracene;C17H16;35;7*=CH- 4*C 3*=C< 3*-CH3;0
pyrene;C16H10;29;10*=CH- 6*C;0
methylpyrene;C17H12;32;9*=CH- 6*C 1*=C< 1*-CH3;0
dimethylpyrene;C18H14;35;8*=CH- 6*C 2*=C< 2*-CH3;0
dibenzofuran;C12H8O;22;8*=CH- 2*C 2*=C< 1*-O-ar;0
dibenzotiophene;C12H8S;22;8*=CH- 2*C 2*=C< 1*-S-ar;0
carbazole;C12H9N;23;8*=CH- 2*C 2*=C< 1*>NHpy;1*>NHpy
