UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   CH2       [0]CH3 [1]CH2 [2]CH [3]C 
  1   C=C       [4]CH2=CH [5]CH=CH [6]CH2=C [7]CH=C [8]C=C 
  2   ACH       [9]ACH [10]AC 
  3   ACCH2     [11]ACCH3 [12]ACCH2 [13]ACCH 
  4   OH        [14]OH(P) [15]OH(S) [16]OH(T) 
  5   CH3OH     [17]CH3OH 
  6   H2O       [18]H2O 
  7   ACOH      [19]ACOH 
  8   CH2CO     [20]CH3CO [21]CH2CO 
  9   CHO       [22]CHO 
  10  CCOO      [23]CH3COO [24]CH2COO 
  11  HCOO      [25]HCOO 
  12  CH2O      [26]CH3O [27]CH2O [28]CHO 
  13  c-CH2O    [29]c-CH2OCH2 [30]c-CH2O [31]TRIOXAN 
  14  CH2NH2    [32]CH3NH2 [33]CH2NH2 [34]CHNH2 [35]CNH2 
  15  CH2NH     [36]CH3NH [37]CH2NH [38]CHNH 
  16  (C)3N     [39]CH3N [40]CH2N 
  17  ACNH2     [41]ACNH2 
  18  PYRIDINE  [42]AC2H2N [43]AC2HN [44]AC2N 
  19  CH2CN     [45]CH3CN [46]CH2CN 
  20  COOH      [47]COOH 
  21  HCOOH     [48]HCOOH 
  22  CCL       [49]CH2CL [50]CHCL [51]CCL 
  23  CCL2      [52]CH2CL2 [53]CHCL2 [54]CCL2 
  24  CHCL3     [55]CHCL3 
  25  CCL3      [56]CCL3 
  26  CCL4      [57]CCL4 
  27  ACCL      [58]ACCL 
  28  CNO2      [59]CH3NO2 [60]CH2NO2 [61]CHNO2 
  29  ACNO2     [62]ACNO2 
  30  CS2       [63]CS2 
  31  CH3SH     [64]CH3SH [65]CH2SH 
  32  FURFURAL  [66]FURFURAL 
  33  (CH2OH)2  [67](CH2OH)2 
  34  I         [68]I 
  35  BR        [69]BR 
  36  C=-C      [70]CH=-C [71]C=-C 
  37  DMSO      [72]DMSO 
  38  ACRY      [73]ACRY 
  39  CLCC      [74]CL-(C=C) 
  40  ACF       [75]ACF 
  41  DMF       [76]DMF [77]HCON(CH2)2 
  42  CF2       [78]CF3 [79]CF2 [80]CF 
  43  COO       [81]COO 
  44  c-CH2     [82]c-CH2 [83]c-CH [84]c-C 
  45  c-CONC    [85]NMP [86]NEP [87]NIPP [88]NTBP 
  46  CONR      [89]CONH2 [90]CONHCH3 [91]CONHCH2 
  47  HCONR     [92]HCONHCH3 [93]HCONHCH2 
  48  CONR2     [94]Am(CH3)2 [95]AmCH3CH2 [96]Am(CH2)2 
  49  ACS       [97]AC2H2S [98]AC2HS [99]AC2S 
  50  EPOXIDES  [100]H2COCH [101]COCH [102]HCOCH [103]H2COCH2 [104]H2COC 
  51  SULFONE   [105](CH2)2Su [106]CH2SuCH 
  52  CARBONAT  [107](CH3)2-cb [108](CH2)2-cb [109]CH2CH3-cb 
  53  CH2S      [110]CH3S [111]CH2S [112]CHS 
  54  IMIDAZOL  [113]C3H2N2+ [114]C3H3N2+ 
  55  BTI       [115]BTI- 
  56  PYRROL    [116]C4H8N+ 
  57  BF4       [117]BF4- 
  58  PYRIDIN   [118]C5H5N+ [119]C5H4N+ 
  59  OTF       [120]OTF- 
  60  -S-S-     [121]-S-S- 
  61  SO4       [122]SO4 [123]HSO4 
  62  PF6       [124]PF6 

-list_of_sub_groups
  0    CH3         0   CH2         0.6325  1.0608  #example Hexane: 2 CH3, 4 CH2
  1    CH2         0   CH2         0.6325  0.7081  #example Hexane: 2 CH3, 4 CH2
  2    CH          0   CH2         0.6325  0.3554  #example 2-Methylpropane: 3 CH3, 1 CH
  3    C           0   CH2         0.6325  0.0000  #example 2,2 - Dimethylpropane: 4 CH3, 1 C
  4    CH2=CH      1   C=C         1.2832  1.6016  #example 1-Hexene: 1 CH3, 3 CH2, 1 CH2=CH
  5    CH=CH       1   C=C         1.2832  1.2489  #example 2-Hexene: 2 CH3, 2 CH2, 1 CH=CH
  6    CH2=C       1   C=C         1.2832  1.2489  #example 2-Methyl-1-butene: 2 CH3, 1 CH2, 1 CH2=C
  7    CH=C        1   C=C         1.2832  0.8962  #example 2-Methyl-2-butene: 3 CH3, 1 CH=C
  8    C=C         1   C=C         1.2832  0.4582  #example 2,3 - Dimethylbutene-2: 4 CH3, 1 C=C
  9    ACH         2   ACH         0.3763  0.4321  #example Benzene: 6 ACH
  10   AC          2   ACH         0.3763  0.2113  #example Styrene: 1 CH2=CH, 5 ACH, 1 AC
  11   ACCH3       3   ACCH2       0.9100  0.9490  #example Toluene: 5 ACH, 1 ACCH3
  12   ACCH2       3   ACCH2       0.9100  0.7962  #example Ethylbenzene: 1 CH3, 5 ACH, 1 ACCH2
  13   ACCH        3   ACCH2       0.9100  0.3769  #example Cumene: 2 CH3, 5 ACH, 1 ACCH
  14   OH(P)       4   OH          1.2302  0.8927  #example 1-Propanol: 2 CH3, 1 CH2, 1 OH (P)
  15   OH(S)       4   OH          1.0630  0.8663  #example 2-Propanol: 2 CH3, 1 CH, 1 OH (S)
  16   OH(T)       4   OH          0.6895  0.8345  #example tert-Butanol: 3 CH3, 1C, 1 OH (T)
  17   CH3OH       5   CH3OH       0.8585  0.9938  #example Methanol: 1 CH3OH
  18   H2O         6   H2O         1.7334  2.4561  #example Water: 1 H2O
  19   ACOH        7   ACOH        1.0800  0.9750  #example Phenol: 5 ACH, 1 ACOH
  20   CH3CO       8   CH2CO       1.7048  1.6700  #example 2-Butanone: 1 CH3, 1 CH2, 1 CH3CO
  21   CH2CO       8   CH2CO       1.7048  1.5542  #example 3-Pentanone: 2 CH3, 1 CH2, 1 CH2CO
  22   CHO         9   CHO         0.7173  0.7710  #example Acetaldelhyde: 1 CH3, 1 CHO
  23   CH3COO      10  CCOO        1.2700  1.6286  #example Butyl acetate: 1 CH3, 3CH2, 1 CH3COO
  24   CH2COO      10  CCOO        1.2700  1.4228  #example Butyl propanoate: 2 CH3, 3 CH2, 1 CH2COO
  25   HCOO        11  HCOO        1.9000  1.8000  #example Ethyl formate: 1 CH3, 1 CH2, 1 HCOO
  26   CH3O        12  CH2O        1.1434  1.6022  #example Dimethyl ether: 1 CH3, 1 CH3O
  27   CH2O        12  CH2O        1.1434  1.2495  #example Diethyl ether: 2 CH3, 1 CH2, 1 CH2O
  28   CHO         12  CH2O        1.1434  0.8968  #example Diisopropyl ether: 4 CH3, 1 CH, 1 CHO
  29   c-CH2OCH2   13  c-CH2O      1.7023  1.8784  #example Tetrahydrofuran: 2 c-CH2, 1 c-CH2OCH2
  30   c-CH2O      13  c-CH2O      1.4046  1.4000  #example 1,3 - dioxane: 1 c-CH2, 2 c- CH2O(CH2)1/2
