32;;;;
i;j;a(i.j);0;0
1;25;527.5;0;0
1;26;269.2;0;0
1;27;-300;0;0
1;28;-63.6;0;0
1;29;928.3;0;0
1;30;331.0;0;0
1;31;561.4;0;0
1;32;956.5;0;0
2;29;500.7;0;0
2;30;115.4;0;0
2;31;784.4;0;0
2;32;265.4;0;0
3;25;358.9;0;0
3;26;363.5;0;0
3;27;-578.2;0;0
3;29;364.2;0;0
3;30;-58.1;0;0
3;31;21.97;0;0
3;32;84.16;0;0
4;25;337.7;0;0
4;26;1023;0;0
4;27;-390.7;0;0
4;31;238.0;0;0
4;32;132.2;0;0
5;25;536.6;0;0
5;26;53.37;0;0
5;27;183.3;0;0
5;28;-44.44;0;0
8;25;-269.2;0;0
8;27;-873.6;0;0
8;28;1429;0;0
8;29;-364.2;0;0
8;30;-117.4;0;0
8;31;18.41;0;0
9;25;-538.6;0;0
9;27;-637.3;0;0
10;25;211.6;0;0
10;28;148.0;0;0
12;25;-278.2;0;0
12;27;-208.4;0;0
12;28;-13.91;0;0
12;30;173.8;0;0
13;25;572.2;0;0
13;28;-2.16;0;0
14;25;343.1;0;0
18;27;18.98;0;0
20;25;124.8;0;0
20;27;-387.7;0;0
21;27;134.3;0;0
22;25;125.3;0;0
22;27;924.5;0;0
23;25;139.8;0;0
24;25;963;0;0
25;25;0;0;0
26;26;0;0;0
27;27;0;0;0
28;28;0;0;0
29;29;0;0;0
30;30;0;0;0
31;31;0;0;0
32;32;0;0;0
1;17;-243.9;0;0
1;18;7.5;0;0
1;19;-5.55;0;0
1;20;924.8;0;0
1;21;696.8;0;0
1;22;902.2;0;0
1;23;556.7;0;0
1;24;575.7;0;0
2;17;337.1;0;0
2;18;4583;0;0
2;19;5831;0;0
2;21;405.9;0;0
2;23;425.7;0;0
3;18;-231.9;0;0
3;19;3000;0;0
3;20;-878.1;0;0
3;21;29.13;0;0
3;22;1.640;0;0
3;23;-1.77;0;0
3;24;-11.19;0;0
4;18;-12.14;0;0
4;19;-141.3;0;0
4;20;-107.3;0;0
4;21;1208;0;0
4;22;689.6;0;0
4;23;3629;0;0
4;24;-175.6;0;0
5;17;272.2;0;0
5;18;-16.57;0;0
5;19;-41.75;0;0
5;20;-597.1;0;0
5;21;-189.3;0;0
5;22;-348.2;0;0
5;23;-30.7;0;0
5;24;-159;0;0
6;17;128.6;0;0
6;18;1544;0;0
6;19;224.6;0;0
6;23;150.8;0;0
7;17;507.8;0;0
7;18;1544;0;0
7;19;-207;0;0
7;23;150.8;0;0
8;17;370.7;0;0
8;18;356.8;0;0
8;19;502.9;0;0
8;20;-97.27;0;0
8;21;198.3;0;0
8;22;-109.8;0;0
8;23;1539;0;0
8;24;32.92;0;0
9;19;4894;0;0
9;22;-851.6;0;0
9;24;-16.13;0;0
10;17;-301;0;0
10;18;12.01;0;0
10;19;-10.88;0;0
10;20;902.6;0;0
10;21;430.6;0;0
10;22;1010;0;0
10;23;400.0;0;0
10;24;-328.6;0;0
11;17;-347.9;0;0
12;17;1670;0;0
12;18;-249.3;0;0
12;19;61.59;0;0
12;22;942.2;0;0
13;17;108.9;0;0
13;18;48.15;0;0
13;19;43.83;0;0
13;20;874.3;0;0
13;21;-149.2;0;0
13;23;446.3;0;0
14;17;137.8;0;0
14;18;-209.7;0;0
14;19;54.57;0;0
14;20;629;0;0
15;17;110.5;0;0
15;18;-154.3;0;0
15;19;47.67;0;0
15;23;95.18;0;0
16;17;0;0;0
16;18;249.2;0;0
16;19;62.42;0;0
17;19;56.33;0;0
18;17;17.97;0;0
18;18;0;0;0
18;19;-30.1;0;0
18;21;70.04;0;0
18;22;-75.5;0;0
19;18;51.9;0;0
19;19;0;0;0
19;20;475.8;0;0
19;21;492;0;0
19;22;1302;0;0
19;23;490.9;0;0
19;24;534.7;0;0
20;19;-255.4;0;0
20;20;0;0;0
20;21;346.2;0;0
20;23;-154.5;0;0
21;18;-15.62;0;0
21;19;-54.86;0;0
21;20;-465.2;0;0
21;21;0;0;0
22;18;-216.3;0;0
22;19;8455;0;0
22;22;0;0;0
22;24;179.9;0;0
23;19;-34.68;0;0
23;20;794.4;0;0
23;23;0;0;0
24;19;514.6;0;0
24;22;175.8;0;0
24;24;0;0;0
25;20;-241.7;0;0
25;22;164.4;0;0
25;23;481.3;0;0
25;24;-246;0;0
26;22;-944.9;0;0
27;18;-114.7;0;0
27;20;-906.5;0;0
27;21;-169.7;0;0
1;9;2255;0;0
1;10;472.6;0;0
1;11;158.1;0;0
1;12;383;0;0
1;13;138.4;0;0
1;14;972.4;0;0
1;15;662.1;0;0
1;16;42.14;0;0
2;10;343.7;0;0
2;11;-214.7;0;0
2;13;1647;0;0
2;14;-577.5;0;0
2;15;289.3;0;0
2;16;99.61;0;0
3;9;1649;0;0
3;10;593.7;0;0
3;11;362.3;0;0
3;12;31.14;0;0
3;13;461.8;0;0
3;14;6;0;0
3;15;32.14;0;0
3;16;-18.81;0;0
4;9;292.6;0;0
4;10;916.7;0;0
4;11;1218;0;0
4;12;715.6;0;0
4;13;339.1;0;0
4;14;5688;0;0
4;15;213.1;0;0
4;16;-114.1;0;0
5;9;-195.5;0;0
5;10;67.07;0;0
5;11;1409;0;0
5;12;-140.3;0;0
5;13;-104;0;0
5;14;195.6;0;0
5;15;262.5;0;0
5;16;62.05;0;0
6;9;-153.2;0;0
6;10;-47.41;0;0
6;11;-344.1;0;0
6;12;299.3;0;0
6;13;244.4;0;0
6;14;19.57;0;0
6;15;1970;0;0
6;16;-166.4;0;0
7;9;-153.2;0;0
7;10;353.8;0;0
7;11;-338.6;0;0
7;12;-241.8;0;0
7;13;-57.98;0;0
7;14;487.1;0;0
7;15;1970;0;0
7;16;-166.4;0;0
8;9;344.5;0;0
8;10;-171.8;0;0
8;11;-349.9;0;0
8;12;66.95;0;0
8;13;-465.7;0;0
8;14;-6.32;0;0
8;15;64.42;0;0
8;16;315.9;0;0
9;9;0;0;0
9;10;-825.7;0;0
9;14;-898.3;0;0
10;9;-586;0;0
10;10;0;0;0
10;11;-37.36;0;0
10;12;120.3;0;0
10;13;1247;0;0
10;14;258.7;0;0
10;15;5.202;0;0
10;16;1000;0;0
11;10;128;0;0
11;11;0;0;0
11;12;1724;0;0
11;13;0.750;0;0
