UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  0   CH3        [0]CH3 [1]CH2 [2]CH [3]C 
  1   CH2=CH     [4]CH2=CH [5]CH=CH [6]CH2=C [7]CH=C [8]C=C 
  2   ACH        [9]ACH [10]AC 
  3   ACCH3      [11]ACCH3 [12]ACCH2 [13]ACCH 
  4   OH         [14]OH 
  5   CH3OH      [15]CH3OH 
  6   H2O        [16]H2O 
  7   ACOH       [17]ACOH 
  8   CH3CO      [18]CH3CO [19]CH2CO 
  9   CHO        [20]CHO 
  10  CH3COO     [21]CH3COO [22]CH2COO 
  11  HCOO       [23]HCOO 
  12  CH3O       [24]CH3O [25]CH2O [26]CHO [27]FCH2O 
  13  CH3NH2     [28]CH3NH2 [29]CH2NH2 [30]CHNH2 
  14  CH3N       [31]CH3N [32]CH2N 
  15  ACNH2      [33]ACNH2 
  16  C5H6N      [34]C5H6N [35]C5H4N [36]C5H3N [37]C5H2N 
  17  CH3CN      [38]CH3CN [39]CH2CN 
  18  CH2Cl      [40]CH2Cl [41]CHCl [42]CCl 
  19  CH2Cl2     [43]CH2Cl2 [44]CHCI2 [45]CC12 
  20  CHCl3      [46]CHCl3 [47]CCl3 
  21  CCl4       [48]CCl4 
  22  ACCl       [49]ACCl 
  23  CH3NO2     [50]CH3NO2 [51]CH2NO2 [52]CHNO2 [53]CNO2 
  24  ACNO2      [54]ACNO2 
  25  FURFURAL   [55]FURFURAL 
  26  (CH2OH)2   [56](CH2OH)2 
  27  I          [57]I 
  28  BR         [58]BR 
  29  ME2SO      [59]ME2SO 
  30  C1(C=C)    [60]C1(C=C) 
  31  DMF        [61]DMF 
  32  NMP        [62]NMP 
  33  SULFOLANE  [63]SULFOLANE 
  34  ACCOO      [64]ACCOO 
  35  CHGS       [65]CHGS [66]CH2S 
  36  DMA        [67]DMA 
  37  DEG        [68]DEG 
  38  NFM        [69]NFM 
  39  TEG        [70]TEG 

-list_of_sub_groups
  0    CH3        0   CH3          0.9011   0.848
  1    CH2        0   CH3          0.6744    0.54
  2    CH         0   CH3          0.4469   0.228
  3    C          0   CH3          0.2195     0.0
  4    CH2=CH     1   CH2=CH       1.3454   1.176
  5    CH=CH      1   CH2=CH       1.1167   0.867
  6    CH2=C      1   CH2=CH       1.1173   0.988
  7    CH=C       1   CH2=CH       0.8886   0.676
  8    C=C        1   CH2=CH       0.6605   0.485
  9    ACH        2   ACH          0.5313     0.4
  10   AC         2   ACH          0.3652    0.12
  11   ACCH3      3   ACCH3        1.2663   0.968
  12   ACCH2      3   ACCH3        1.0396    0.66
  13   ACCH       3   ACCH3        0.8121   0.348
  14   OH         4   OH              1.0     1.2
  15   CH3OH      5   CH3OH        1.4311   1.432
  16   H2O        6   H2O            0.92     1.4
  17   ACOH       7   ACOH         0.8952    0.68
  18   CH3CO      8   CH3CO        1.6724   1.488
  19   CH2CO      8   CH3CO        1.4457    1.18
  20   CHO        9   CHO           0.998   0.948
  21   CH3COO     10  CH3COO       1.9031   1.728
  22   CH2COO     10  CH3COO       1.6764    1.42
  23   HCOO       11  HCOO          1.242   1.188
  24   CH3O       12  CH3O           1.45   1.088
  25   CH2O       12  CH3O         0.9183    0.78
  26   CHO        12  CH3O         0.6908   0.468
  27   FCH2O      12  CH3O         0.9183     1.1
  28   CH3NH2     13  CH3NH2       1.5959   1.544
  29   CH2NH2     13  CH3NH2       1.3692   1.236
  30   CHNH2      13  CH3NH2       1.1417   0.924
  31   CH3N       14  CH3N         1.1865    0.94
  32   CH2N       14  CH3N         0.9597   0.632
  33   ACNH2      15  ACNH2          1.06   0.816
  34   C5H6N      16  C5H6N        2.9993   2.113
  35   C5H4N      16  C5H6N        2.8332   1.833
  36   C5H3N      16  C5H6N         2.667   1.553
  37   C5H2N      16  C5H6N         2.501   1.273
  38   CH3CN      17  CH3CN        1.8701   1.724
  39   CH2CN      17  CH3CN        1.6434   1.416
  40   CH2Cl      18  CH2Cl        1.4654   1.264
  41   CHCl       18  CH2Cl         1.238   0.952
  42   CCl        18  CH2Cl         1.006   0.724
  43   CH2Cl2     19  CH2Cl2       2.2564   1.988
  44   CHCI2      19  CH2Cl2       2.0606   1.684
  45   CC12       19  CH2Cl2       1.8016   1.448
  46   CHCl3      20  CHCl3          2.87    2.41
  47   CCl3       20  CHCl3        2.6401   2.184
  48   CCl4       21  CCl4           3.39    2.91
  49   ACCl       22  ACCl         1.1562   0.844
  50   CH3NO2     23  CH3NO2       2.0086   1.868
  51   CH2NO2     23  CH3NO2       1.7818    1.56
  52   CHNO2      23  CH3NO2       1.5544   1.248
  53   CNO2       23  CH3NO2       1.3276    0.94
  54   ACNO2      24  ACNO2        1.4199   1.104
  55   FURFURAL   25  FURFURAL      3.168   2.481
  56   (CH2OH)2   26  (CH2OH)2     2.4088   2.248
  57   I          27  I             1.264   0.992
  58   BR         28  BR           0.9492   0.832
  59   ME2SO      29  ME2SO        2.8266   2.472
  60   C1(C=C)    30  C1(C=C)       0.791   0.724
  61   DMF        31  DMF          3.0856   2.736
  62   NMP        32  NMP           3.981     3.2
  63   SULFOLANE  33  SULFOLANE    4.0358     3.2
  64   ACCOO      34  ACCOO        1.3672     1.0
  65   CHGS       35  CHGS          1.613   1.368
  66   CH2S       35  CHGS         1.3863    1.06
  67   DMA        36  DMA          3.7601   3.276
  68   DEG        37  DEG          4.0013   3.568
  69   NFM        38  NFM          4.2248    3.44
  70   TEG        39  TEG          5.5939   4.888

-list_of_interaction_parameters
  0   0   0.0       0.0  0.0  0.0       0.0  0.0
  0   1   -41.31    0.0  0.0  68.39     0.0  0.0
  0   2   -66.14    0.0  0.0  120.09    0.0  0.0
  0   3   291.6     0.0  0.0  -160.46   0.0  0.0
  0   4   1024.5    0.0  0.0  173.32    0.0  0.0
  0   5   917.16    0.0  0.0  -34.51    0.0  0.0
  0   6   1.44      0.0  0.0  354.53    0.0  0.0
  0   7   1094.73   0.0  0.0  1001.49   0.0  0.0
  0   8   406.47    0.0  0.0  111.28    0.0  0.0
  0   9   638.02    0.0  0.0  428.56    0.0  0.0
  0   10  260.01    0.0  0.0  66.81     0.0  0.0
  0   11  383.91    0.0  0.0  600.17    0.0  0.0
  0   12  172.77    0.0  0.0  28.84     0.0  0.0
  0   13  216.12    0.0  0.0  217.06    0.0  0.0
  0   14  740.89    0.0  0.0  778.69    0.0  0.0
  0   15  1071.1    0.0  0.0  1043.41   0.0  0.0
  0   16  54.82     0.0  0.0  72.8      0.0  0.0
  0   17  552.13    0.0  0.0  26.98     0.0  0.0
  0   18  34.75     0.0  0.0  78.34     0.0  0.0
  0   19  113.08    0.0  0.0  7.3       0.0  0.0
  0   20  5.93      0.0  0.0  43.97     0.0  0.0
  0   21  -65.19    0.0  0.0  83.18     0.0  0.0
  0   22  -374.91   0.0  0.0  -174.26   0.0  0.0
  0   23  548.98    0.0  0.0  54.7      0.0  0.0
  0   24  443.15    0.0  0.0  351.75    0.0  0.0
  0   25  294.44    0.0  0.0  61.57     0.0  0.0
  0   26  -280.0    0.0  0.0  900.0     0.0  0.0
  0   27  501.48    0.0  0.0  -164.53   0.0  0.0
  0   28  117.16    0.0  0.0  132.01    0.0  0.0
  0   29  0.9       0.0  0.0  298.65    0.0  0.0
  0   30  -82.89    0.0  0.0  -118.26   0.0  0.0
  0   31  0.7       0.0  0.0  211.83    0.0  0.0
  0   32  0.4       0.0  0.0  196.64    0.0  0.0
  0   33  100.22    0.0  0.0  201.47    0.0  0.0
  0   34  592.59    0.0  0.0  292.92    0.0  0.0
  0   35  644.31    0.0  0.0  -369.75   0.0  0.0
  0   36  262.7     0.0  0.0  51.16     0.0  0.0
  0   37  169.06    0.0  0.0  202.69    0.0  0.0
