UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   CH3              [0]CH3 [1]CH2 [2]CH [3]C 
  1   CH2=CH           [4]CH2=CH [5]CH=CH [6]CH2=C [7]CH=C [8]C=C 
  2   ACH              [9]ACH [10]AC 
  3   ACCH3            [11]ACCH3 [12]ACCH2 [13]ACCH [14]ACC 
  4   OH(P)            [15]OH(P) [16]OH(S) [17]OH(T) 
  5   CH3OH            [18]CH3OH 
  6   H2O              [19]H2O 
  7   ACOH             [20]ACOH 
  8   CH3CO            [21]CH3CO [22]CH2CO [23]CHCO [24]CCO 
  9   CHO              [25]CHO [26]HCHO 
  10  CH3COO           [27]CH3COO [28]CH2COO 
  11  HCOO             [29]HCOO 
  12  CH3O             [30]CH3O [31]CH2O [32]CHO 
  13  CH3NH2           [33]CH3NH2 [34]CH2NH2 [35]CHNH2 [36]CNH2 
  14  CH3NH            [37]CH3NH [38]CH2NH [39]CHNH 
  15  CH3N             [40]CH3N [41]CH2N 
  16  ACNH2            [42]ACNH2 [43]ACNH [44]ACN 
  17  AC2H2N           [45]AC2H2N [46]AC2HN [47]AC2N 
  18  CH3CN            [48]CH3CN [49]CH2CN [50]CHCN [51]CCN 
  19  COOH             [52]COOH 
  20  CH2Cl            [53]CH2Cl [54]CHCl [55]CCl 
  21  CH2Cl2           [56]CH2Cl2 [57]CHCl2 [58]CCl2 
  22  CCl3             [59]CCl3 
  23  CCl4             [60]CCl4 
  24  ACCl             [61]ACCl 
  25  CH3NO2           [62]CH3NO2 [63]CH2NO2 [64]CHNO2 [65]CNO2 
  26  ACNO2            [66]ACNO2 
  27  CS2              [67]CS2 
  28  CH3SH            [68]CH3SH [69]CH2SH [70]CHSH [71]CSH [72]ACSH 
  29  Furfural         [73]Furfural 
  30  CH2(OH)-CH2(OH)  [74]CH2(OH)-CH2(OH) [75]-CH(OH)-CH2(OH) [76]-CH(OH)-CH(OH)- [77]>C(OH)-CH2(OH) [78]>C(OH)-CH(OH)- [79]>C(OH)-C(OH)< 
  31  I                [80]I 
  32  Br               [81]Br 
  33  CH#C             [82]CH#C [83]C#C 
  34  DMSO             [84]DMSO 
  35  Acrylonitrile    [85]Acrylonitrile 
  36  Cl?(C=C)         [86]Cl?(C=C) 
  37  ACF              [87]ACF 
  38  DMF              [88]DMF [89]HCON(CH2)2 
  39  CF3              [90]CF3 [91]CF2 [92]CF 
  40  COO              [93]COO 
  41  c-CH2            [94]c-CH2 [95]c-CH [96]c-C 
  42  CH2-O-CH2        [97]CH2-O-CH2 [98]CH2-O-[CH2-O]1/2 [99][O-CH2]1/2-O-[CH2-O]1/2 
  43  HCOOH            [100]HCOOH 
  44  CHCl3            [101]CHCl3 
  45  c-CON-CH3        [102]c-CON-CH3 [103]c-CON-CH2 [104]c-CON-CH [105]c-CON-C 
  46  CONHCH3          [106]CONHCH3 [107]CONHCH2 
  47  CON(CH3)2        [108]CON(CH3)2 [109]CON(CH3)CH2 [110]CON(CH2)2 
  48  HCONHCH3         [111]HCONHCH3 [112]HCONHCH2 
  49  ACCN             [113]ACCN 
  50  CH3NCO           [114]CH3NCO [115]CH2NCO [116]CHNCO [117]ACNCO 
  51  AC2H2S           [118]AC2H2S [119]AC2HS [120]AC2S 
  52  H2COCH           [121]H2COCH [122]HCOCH 
  53  COOCO            [123]COOCO 
  54  (CH3O)2CO        [124](CH3O)2CO [125](CH2O)2CO [126](CH3O)COOCH2 [127](ACO)COOCH2 [128](ACO)CO(OAC) 
  55  CH2SuCH2         [129]CH2SuCH2 [130]CH2SuCH  [131]ACSO2 
  56  ACCHO            [132]ACCHO 
  57  ACCOOH           [133]ACCOOH 
  58  AC-O-CO-CH3      [134]AC-O-CO-CH3  [135]AC-O-CO-CH2 [136]AC-O-CO-CH [137]AC-O-CO-C 
  59  -O-CH2-CH2-OH    [138]-O-CH2-CH2-OH [139]-O-CH-CH2-OH [140]-O-CH2-CH-OH 
  60  CH3-S-           [141]CH3-S- [142]-CH2-S- [143]>CH-S- [144]->C-S- [145]ACS 
  61  c-CO-NH          [146]c-CO-NH 
  62  c-CO-O           [147]c-CO-O 
  63  CH3O-(O)         [148]CH3O-(O) [149]CH2O-(O) [150]CHO-(O) [151]CO-(O) [152]ACO-(O) 
  64  CFH              [153]CFH 
  65  CFCl             [154]CFCl 
  66  CFCl2            [155]CFCl2 
  67  CF2H             [156]CF2H 
  68  CF2ClH           [157]CF2ClH 
  69  CF2Cl2           [158]CF2Cl2 
  70  CF3H             [159]CF3H 
  71  CF3Cl            [160]CF3Cl 
  72  CF4              [161]CF4 
  73  C(O)2            [162]C(O)2 [163]CH(O)2 [164]CH2(O)2 
  74  ACN(CH3)2        [165]ACN(CH3)2 [166]ACN(CH3)CH2 [167]ACN(CH2)2 
  75  ACNHCH3          [168]ACNHCH3 [169]ACNHCH2 [170]ACNHCH 
  76  AC2H2O           [171]AC2H2O [172]AC2HO [173]AC2O 
  77  c-CH2-NH         [174]c-CH2-NH [175]c-CH-NH [176]c-C-NH 
  78  c-CH2-NCH3       [177]c-CH2-NCH3 [178]c-CH2-NCH2 [179]c-CH2-NCH [180]c-CH-NCH3 [181]c-CH-NCH2 [182]c-CH-NCH 
  79  SiH3-            [183]SiH3- [184]-SiH2- [185]>SiH- [186]>Si< 
  80  -SiH2-O-         [187]-SiH2-O- [188]>SiH-O- [189]->Si-O- 
  81  CH=NOH           [190]CH=NOH [191]C=NOH 
  82  ACCO             [192]ACCO 
  83  C2Cl4            [193]C2Cl4 
