UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  0   CH3       [0]CH3 [1]CH2 [2]CH [3]C 
  1   CH2=CH    [4]CH2=CH [5]CH=CH [6]CH2=C [7]CH=C [8]C=C 
  2   ACH       [9]ACH [10]AC 
  3   ACCH3     [11]ACCH3 [12]ACCH2 [13]ACCH 
  4   OH        [14]OH 
  5   CH3OH     [15]CH3OH 
  6   H2O       [16]H2O 
  7   ACOH      [17]ACOH 
  8   CH3CO     [18]CH3CO [19]CH2CO 
  9   CHO       [20]CHO 
  10  CH3COO    [21]CH3COO [22]CH2COO 
  11  HCOO      [23]HCOO 
  12  CH3O      [24]CH3O [25]CH2O [26]CHO [27]THF 
  13  CH3NH2    [28]CH3NH2 [29]CH2NH2 [30]CHNH2 
  14  CH3NH     [31]CH3NH [32]CH2NH [33]CHNH 
  15  CH3N      [34]CH3N [35]CH2N 
  16  ACNH2     [36]ACNH2 
  17  C5H5N     [37]C5H5N [38]C5H4N [39]C5H3N 
  18  CH3CN     [40]CH3CN [41]CH2CN 
  19  COOH      [42]COOH [43]HCOOH 
  20  CH2Cl     [44]CH2Cl [45]CHCl [46]CCl 
  21  CH2Cl2    [47]CH2Cl2 [48]CHCl2 [49]CCl2 
  22  CHCl3     [50]CHCl3 [51]CCl3 
  23  CCl4      [52]CCl4 
  24  ACCl      [53]ACCl 
  25  CH3NO2    [54]CH3NO2 [55]CH2NO2 [56]CHNO2 
  26  ACNO2     [57]ACNO2 
  27  CS2       [58]CS2 
  28  CH3SH     [59]CH3SH [60]CH2SH 
  29  FURFURAL  [61]FURFURAL 
  30  DOH       [62]DOH 
  31  I         [63]I 
  32  BR        [64]BR 
  33  CH=-C     [65]CH=-C [66]C=-C 
  34  DMSO      [67]DMSO 
  35  ACRY      [68]ACRY 
  36  Cl-(C=C)  [69]Cl-(C=C) 
  37  ACF       [70]ACF 
  38  DMF       [71]DMF [72]HCON(.. 
  39  CF3       [73]CF3 [74]CF2 [75]CF 
  40  COO       [76]COO 
  41  SIH3      [77]SIH3 [78]SIH2 [79]SIH [80]SI 
  42  SIH2O     [81]SIH2O [82]SIHO [83]SIO 
  43  NMP       [84]NMP 
  44  CCl3F     [85]CCl3F [86]CCl2F [87]HCCl2F [88]HCClF [89]CClF2 [90]HCClF2 [91]CClF3 [92]CCl2F2 
  45  AMH2      [93]AMH2 [94]AMHCH3 [95]AMHCH2 [96]AM(CH3)2 [97]AMCH3CH2 [98]AM(CH2)2 
  46  C2H5O2    [99]C2H5O2 [100]C2H4O2 
  47  CH3S      [101]CH3S [102]CH2S [103]CHS 
  48  MORPH     [104]MORPH 
  49  C4H4S     [105]C4H4S [106]C4H3S [107]C4H2S 
  50  NCO       [108]NCO 
  51  (CH2)2SU  [109](CH2)2SU [110]CH2CHSU 
  52  IMIDAZOL  [111]IMIDAZOL 
  53  BTI       [112]BTI 

-list_of_sub_groups
  0    CH3       0   CH3         0.9011   0.848
  1    CH2       0   CH3         0.6744    0.54
  2    CH        0   CH3         0.4469   0.228
  3    C         0   CH3         0.2195     0.0
  4    CH2=CH    1   CH2=CH      1.3454   1.176
  5    CH=CH     1   CH2=CH      1.1167   0.867
  6    CH2=C     1   CH2=CH      1.1173   0.988
  7    CH=C      1   CH2=CH      0.8886   0.676
  8    C=C       1   CH2=CH      0.6605   0.485
  9    ACH       2   ACH         0.5313     0.4
  10   AC        2   ACH         0.3652    0.12
  11   ACCH3     3   ACCH3       1.2663   0.968
  12   ACCH2     3   ACCH3       1.0396    0.66
  13   ACCH      3   ACCH3       0.8121   0.348
  14   OH        4   OH             1.0     1.2
  15   CH3OH     5   CH3OH       1.4311   1.432
  16   H2O       6   H2O           0.92     1.4
  17   ACOH      7   ACOH        0.8952    0.68
  18   CH3CO     8   CH3CO       1.6724   1.488
  19   CH2CO     8   CH3CO       1.4457    1.18
  20   CHO       9   CHO          0.998   0.948
  21   CH3COO    10  CH3COO      1.9031   1.728
  22   CH2COO    10  CH3COO      1.6764    1.42
  23   HCOO      11  HCOO         1.242   1.188
  24   CH3O      12  CH3O         1.145   1.088
  25   CH2O      12  CH3O        0.9183    0.78
  26   CHO       12  CH3O        0.6908   0.468
  27   THF       12  CH3O        0.9183     1.1
  28   CH3NH2    13  CH3NH2      1.5959   1.544
  29   CH2NH2    13  CH3NH2      1.3692   1.236
  30   CHNH2     13  CH3NH2      1.1417   0.924
  31   CH3NH     14  CH3NH       1.4337   1.244
  32   CH2NH     14  CH3NH        1.207   0.936
  33   CHNH      14  CH3NH       0.9795   0.624
  34   CH3N      15  CH3N        1.1865    0.94
  35   CH2N      15  CH3N        0.9597   0.632
  36   ACNH2     16  ACNH2         1.06   0.816
  37   C5H5N     17  C5H5N       2.9993   2.113
  38   C5H4N     17  C5H5N       2.8332   1.833
  39   C5H3N     17  C5H5N        2.667   1.553
  40   CH3CN     18  CH3CN       1.8701   1.724
  41   CH2CN     18  CH3CN       1.6434   1.416
  42   COOH      19  COOH        1.3013   1.224
  43   HCOOH     19  COOH         1.528   1.532
  44   CH2Cl     20  CH2Cl       1.4654   1.264
  45   CHCl      20  CH2Cl        1.238   0.952
  46   CCl       20  CH2Cl       1.0106   0.724
  47   CH2Cl2    21  CH2Cl2      2.2564   1.988
  48   CHCl2     21  CH2Cl2      2.0606   1.684
  49   CCl2      21  CH2Cl2      1.8016   1.448
  50   CHCl3     22  CHCl3         2.87    2.41
  51   CCl3      22  CHCl3       2.6401   2.184
  52   CCl4      23  CCl4          3.39    2.91
  53   ACCl      24  ACCl        1.1562   0.844
  54   CH3NO2    25  CH3NO2      2.0086   1.868
  55   CH2NO2    25  CH3NO2      1.7818    1.56
  56   CHNO2     25  CH3NO2      1.5544   1.248
  57   ACNO2     26  ACNO2       1.4199   1.104
  58   CS2       27  CS2          2.057    1.65
  59   CH3SH     28  CH3SH        1.877   1.676
  60   CH2SH     28  CH3SH        1.651   1.368
  61   FURFURAL  29  FURFURAL     3.168   2.484
  62   DOH       30  DOH         2.4088   2.248
  63   I         31  I            1.264   0.992
  64   BR        32  BR          0.9492   0.832
  65   CH=-C     33  CH=-C        1.292   1.088
  66   C=-C      33  CH=-C       1.0613   0.784
  67   DMSO      34  DMSO        2.8266   2.472
  68   ACRY      35  ACRY        2.3144   2.052
  69   Cl-(C=C)  36  Cl-(C=C)     0.791   0.724
  70   ACF       37  ACF         0.6948   0.524
  71   DMF       38  DMF         3.0856   2.736
  72   HCON(..   38  DMF         2.6322    2.12
  73   CF3       39  CF3          1.406    1.38
  74   CF2       39  CF3         1.0105    0.92
  75   CF        39  CF3          0.615    0.46
  76   COO       40  COO           1.38     1.2
  77   SIH3      41  SIH3        1.6035  1.2632
  78   SIH2      41  SIH3        1.4443  1.0063
  79   SIH       41  SIH3        1.2853  0.7494
  80   SI        41  SIH3         1.047  0.4099
  81   SIH2O     42  SIH2O       1.4838  1.0621
  82   SIHO      42  SIH2O        1.303  0.7639
  83   SIO       42  SIH2O       1.1044  0.4657
  84   NMP       43  NMP          3.981     3.2
  85   CCl3F     44  CCl3F       3.0356   2.644
  86   CCl2F     44  CCl3F       2.2287   1.916
  87   HCCl2F    44  CCl3F        2.406   2.116
  88   HCClF     44  CCl3F       1.6493   1.416
  89   CClF2     44  CCl3F       1.8174   1.648
  90   HCClF2    44  CCl3F        1.967   1.828
  91   CClF3     44  CCl3F       2.1721     2.1
  92   CCl2F2    44  CCl3F       2.6243   2.376
  93   AMH2      45  AMH2        1.4515   1.248
  94   AMHCH3    45  AMH2        2.1905   1.796
  95   AMHCH2    45  AMH2        1.9637   1.488
  96   AM(CH3)2  45  AMH2        2.8589   2.428
  97   AMCH3CH2  45  AMH2        2.6322    2.12
